categoria,produto,nome_do_arquivo (salvar em assets/images/produtos/)
Capacetes,Capacete integral,capacete-integral-1.jpg
Capacetes,Capacete integral,capacete-integral-2.jpg
Capacetes,Capacete aberto,capacete-aberto-1.jpg
Capacetes,Capacete aberto,capacete-aberto-2.jpg
Capacetes,Capacete modular,capacete-modular-1.jpg
Capacetes,Capacete modular,capacete-modular-2.jpg
Jaquetas,Jaqueta impermeável,jaqueta-impermeavel-1.jpg
Jaquetas,Jaqueta impermeável,jaqueta-impermeavel-2.jpg
Jaquetas,Jaqueta com proteção,jaqueta-protecao-1.jpg
Jaquetas,Jaqueta com proteção,jaqueta-protecao-2.jpg
Óleo,Óleo mineral para motor,oleo-mineral-1.jpg
Óleo,Óleo mineral para motor,oleo-mineral-2.jpg
Óleo,Óleo sintético para motor,oleo-sintetico-1.jpg
Óleo,Óleo sintético para motor,oleo-sintetico-2.jpg
Peças,Kit de relação,kit-relacao-1.jpg
Peças,Kit de relação,kit-relacao-2.jpg
Peças,Pastilha de freio,pastilha-freio-1.jpg
Peças,Pastilha de freio,pastilha-freio-2.jpg
Peças,Bateria para moto,bateria-moto-1.jpg
Peças,Bateria para moto,bateria-moto-2.jpg
